Type,Date_Installation,Frequence,Wilaya,Ville
3G,2021-04-01,2600,Ouargla,Ville_3_Ouar
3G,2016-08-30,700,Oran,Ville_6_Oran
2G,2019-09-09,1800,Jijel,Ville_4_Jije
4G,2016-09-12,2100,Setif,Ville_8_Seti
4G,2018-03-14,1800,Tamanrasset,Ville_1_Tama
2G,2021-10-19,2600,Tlemcen,Ville_7_Tlem
3G,2022-06-19,1800,ElBayadh,Ville_3_ElBa
4G,2015-01-02,700,Laghouat,Ville_4_Lagh
4G,2017-01-30,1800,Mostaganem,Ville_4_Most
4G,2016-06-03,1800,Guelma ,Ville_3_Guel
4G,2017-08-11,2600,AinTemouchent,Ville_2_AinT
4G,2022-08-14,2100,Ouargla,Ville_4_Ouar
2G,2015-05-08,1800,Chlef,Ville_8_Chle
3G,2017-08-07,2100,Tamanrasset,Ville_8_Tama
3G,2017-10-20,1800,Constantine,Ville_7_Cons
4G,2018-07-26,2600,Ghardaia,Ville_8_Ghar
4G,2015-06-13,2100,SidiBelAbbes,Ville_5_Sidi
4G,2020-01-01,2600,Mila,Ville_8_Mila
3G,2014-10-16,800,Mostaganem,Ville_6_Most
2G,2015-02-12,2600,Saida,Ville_7_Said
3G,2022-05-07,700,Tipaza ,Ville_3_Tipa
4G,2014-12-29,700,Ouargla,Ville_7_Ouar
4G,2018-01-21,2100,Guelma ,Ville_2_Guel
3G,2019-08-12,700,Tamanrasset,Ville_2_Tama
3G,2017-11-18,2100,Tamanrasset,Ville_1_Tama
4G,2019-10-07,800,Bechar,Ville_5_Bech
2G,2021-12-27,1800,Setif,Ville_6_Seti
3G,2018-10-18,700,Setif,Ville_2_Seti
4G,2020-06-15,2600,Biskra,Ville_2_Bisk
4G,2020-04-16,1800,AinTemouchent,Ville_2_AinT
2G,2017-08-21,2100,Alger,Ville_7_Alge
2G,2021-08-22,2600,SoukAhras ,Ville_6_Souk
2G,2015-03-25,1800,Oran,Ville_8_Oran
3G,2017-02-07,1800,Naama,Ville_8_Naam
3G,2016-04-24,2100,Djelfa,Ville_6_Djel
3G,2016-05-22,800,ElTarf,Ville_1_ElTa
3G,2017-07-05,1800,Khenchela,Ville_3_Khen
4G,2020-04-06,1800,Ain Defla,Ville_5_Ain 
3G,2016-11-27,700,Laghouat,Ville_1_Lagh
2G,2014-10-26,2600,Bordj Bou Arreridj,Ville_5_Bord
2G,2018-02-23,2100,Setif,Ville_4_Seti
3G,2017-06-22,1800,Alger,Ville_5_Alge
4G,2017-07-19,2600,Tipaza ,Ville_3_Tipa
2G,2021-11-06,700,Tamanrasset,Ville_7_Tama
2G,2015-12-25,2100,Batna,Ville_1_Batn
4G,2020-09-17,800,Tebessa,Ville_1_Tebe
2G,2018-01-26,1800,Bordj Bou Arreridj,Ville_7_Bord
4G,2019-01-19,800,Msila,Ville_6_Msil
2G,2017-01-16,1800,Khenchela,Ville_5_Khen
3G,2019-09-03,1800,Bouaghi,Ville_3_Boua
3G,2020-07-30,700,Tebessa,Ville_1_Tebe
4G,2017-08-30,800,Khenchela,Ville_1_Khen
2G,2017-03-22,1800,Laghouat,Ville_5_Lagh
2G,2019-11-07,800,Blida,Ville_4_Blid
2G,2016-06-12,1800,Tissemsilt,Ville_3_Tiss
3G,2022-07-01,2100,Alger,Ville_6_Alge
4G,2016-10-22,2600,Tindouf,Ville_3_Tind
4G,2020-05-01,1800,Setif,Ville_5_Seti
4G,2017-09-22,700,Guelma ,Ville_5_Guel
3G,2016-09-08,2100,Skikda,Ville_1_Skik
2G,2020-09-27,1800,Ghardaia,Ville_2_Ghar
2G,2016-03-20,2100,Setif,Ville_4_Seti
2G,2021-12-02,700,Mila,Ville_8_Mila
3G,2017-07-27,1800,Tiaret,Ville_1_Tiar
2G,2016-01-15,2100,Bejaia,Ville_3_Beja
4G,2020-03-10,2100,Relizane,Ville_2_Reli
4G,2021-09-27,700,Ouargla,Ville_7_Ouar
3G,2018-11-22,2600,Tindouf,Ville_3_Tind
4G,2020-11-14,1800,SoukAhras ,Ville_3_Souk
3G,2021-06-02,1800,Bejaia,Ville_5_Beja
4G,2016-07-30,2100,Setif,Ville_3_Seti
4G,2018-06-15,800,Msila,Ville_6_Msil
2G,2015-01-16,800,Chlef,Ville_7_Chle
4G,2018-05-11,1800,Medea,Ville_8_Mede
3G,2020-12-01,700,Bouira,Ville_1_Boui
4G,2018-10-10,700,Setif,Ville_8_Seti
4G,2019-04-11,2600,Tipaza ,Ville_5_Tipa
4G,2019-04-28,1800,Bouira,Ville_7_Boui
3G,2020-03-15,700,AinTemouchent,Ville_1_AinT
3G,2017-02-09,800,Bouaghi,Ville_8_Boua
3G,2021-10-16,1800,Bechar,Ville_5_Bech
2G,2020-07-16,1800,Mostaganem,Ville_7_Most
3G,2017-07-16,1800,Tlemcen,Ville_1_Tlem
4G,2016-10-22,800,Setif,Ville_1_Seti
2G,2022-04-27,2600,Khenchela,Ville_1_Khen
3G,2016-02-14,700,Tebessa,Ville_6_Tebe
4G,2022-04-01,2100,Bouira,Ville_2_Boui
3G,2020-07-11,700,Illizi,Ville_5_Illi
4G,2017-05-08,800,Bordj Bou Arreridj,Ville_7_Bord
3G,2018-05-30,2100,Tipaza ,Ville_2_Tipa
3G,2016-06-27,2600,Constantine,Ville_8_Cons
4G,2018-02-15,2600,Batna,Ville_2_Batn
3G,2018-07-01,1800,Jijel,Ville_2_Jije
2G,2021-07-09,800,Bouaghi,Ville_8_Boua
3G,2017-11-26,2100,Annaba,Ville_5_Anna
4G,2019-06-15,800,Jijel,Ville_6_Jije
2G,2015-11-18,2100,Msila,Ville_6_Msil
4G,2018-08-15,700,Djelfa,Ville_2_Djel
4G,2016-11-30,1800,Mostaganem,Ville_3_Most
2G,2021-01-19,700,Alger,Ville_8_Alge
4G,2014-11-18,2100,Alger,Ville_5_Alge
2G,2020-01-12,1800,Blida,Ville_6_Blid
2G,2016-03-06,2100,Annaba,Ville_2_Anna
2G,2019-06-22,800,Tiaret,Ville_2_Tiar
4G,2020-02-01,700,Illizi,Ville_2_Illi
4G,2022-03-30,2100,Oran,Ville_7_Oran
2G,2019-07-06,1800,Alger,Ville_8_Alge
3G,2014-12-26,800,TiziOuzou,Ville_5_Tizi
4G,2016-03-10,1800,Oran,Ville_8_Oran
4G,2018-09-19,700,Oran,Ville_2_Oran
3G,2021-07-26,2600,Bejaia,Ville_4_Beja
3G,2021-01-18,700,Djelfa,Ville_6_Djel
4G,2015-08-26,2600,Tindouf,Ville_2_Tind
4G,2022-04-09,800,Illizi,Ville_3_Illi
4G,2018-03-12,2600,Ouargla,Ville_2_Ouar
4G,2019-01-28,2100,Batna,Ville_4_Batn
2G,2018-08-13,2100,ElBayadh,Ville_6_ElBa
4G,2021-01-30,2100,Skikda,Ville_5_Skik
2G,2017-11-26,800,Constantine,Ville_5_Cons
4G,2016-04-07,2100,Biskra,Ville_1_Bisk
3G,2019-01-13,2100,Tipaza ,Ville_2_Tipa
4G,2016-02-15,700,ElBayadh,Ville_7_ElBa
3G,2017-08-08,1800,TiziOuzou,Ville_6_Tizi
2G,2021-09-29,2100,Tebessa,Ville_2_Tebe
4G,2014-10-25,800,AinTemouchent,Ville_6_AinT
4G,2021-07-27,700,Tamanrasset,Ville_7_Tama
3G,2017-09-14,700,SidiBelAbbes,Ville_7_Sidi
3G,2018-12-30,1800,Boumerdes,Ville_5_Boum
2G,2015-01-27,800,Saida,Ville_6_Said
2G,2018-07-13,1800,Tissemsilt,Ville_5_Tiss
3G,2016-12-14,700,Tissemsilt,Ville_3_Tiss
4G,2020-05-12,700,Blida,Ville_2_Blid
4G,2017-02-13,2600,Blida,Ville_6_Blid
4G,2014-11-17,700,Setif,Ville_1_Seti
4G,2018-09-06,1800,SoukAhras ,Ville_7_Souk
3G,2017-09-14,2600,Tindouf,Ville_3_Tind
2G,2016-08-20,1800,Bordj Bou Arreridj,Ville_1_Bord
4G,2019-04-21,700,Tiaret,Ville_1_Tiar
4G,2016-12-12,2100,Naama,Ville_1_Naam
4G,2020-03-15,2600,Tiaret,Ville_1_Tiar
2G,2020-07-01,800,Bouaghi,Ville_8_Boua
4G,2016-03-01,700,Tebessa,Ville_5_Tebe
2G,2019-11-08,1800,Bechar,Ville_5_Bech
4G,2022-06-05,1800,Djelfa,Ville_5_Djel
3G,2019-02-26,700,Medea,Ville_1_Mede
3G,2018-03-24,1800,Setif,Ville_8_Seti
3G,2018-08-02,2600,Naama,Ville_2_Naam
3G,2018-04-10,2100,Khenchela,Ville_7_Khen
2G,2020-03-05,2600,Mila,Ville_7_Mila
4G,2016-06-20,1800,Illizi,Ville_8_Illi
2G,2018-03-21,2600,Alger,Ville_3_Alge
4G,2017-02-20,1800,Batna,Ville_5_Batn
4G,2020-03-14,2100,Blida,Ville_7_Blid
2G,2021-10-10,800,Annaba,Ville_8_Anna
3G,2022-06-08,700,Tiaret,Ville_8_Tiar
4G,2022-08-21,1800,Constantine,Ville_6_Cons
3G,2017-02-16,800,Bejaia,Ville_7_Beja
2G,2019-12-17,800,TiziOuzou,Ville_4_Tizi
2G,2016-06-06,1800,Bouira,Ville_8_Boui
4G,2014-12-02,1800,Djelfa,Ville_3_Djel
4G,2020-01-01,700,Skikda,Ville_1_Skik
3G,2019-05-18,2100,Bejaia,Ville_1_Beja
2G,2016-06-15,800,SoukAhras ,Ville_6_Souk
2G,2015-09-14,2100,Bordj Bou Arreridj,Ville_4_Bord
2G,2016-08-29,2600,ElTarf,Ville_1_ElTa
3G,2017-08-10,1800,Tissemsilt,Ville_4_Tiss
4G,2019-04-27,700,ElOued,Ville_2_ElOu
2G,2017-05-25,800,Naama,Ville_4_Naam
2G,2022-05-13,800,Khenchela,Ville_7_Khen
4G,2020-04-03,2100,Oran,Ville_8_Oran
4G,2021-03-15,2600,Batna,Ville_5_Batn
4G,2017-07-12,2100,Tebessa,Ville_7_Tebe
4G,2022-07-08,2100,Relizane,Ville_2_Reli
3G,2022-06-04,800,Tiaret,Ville_6_Tiar
3G,2018-01-16,1800,ElTarf,Ville_6_ElTa
2G,2019-05-12,800,Mascara,Ville_8_Masc
4G,2015-06-26,700,Blida,Ville_5_Blid
2G,2018-01-11,800,Ain Defla,Ville_8_Ain 
3G,2017-03-10,800,ElTarf,Ville_7_ElTa
2G,2021-03-06,700,Blida,Ville_4_Blid
4G,2021-04-08,700,Tebessa,Ville_5_Tebe
2G,2015-03-31,2100,Boumerdes,Ville_8_Boum
2G,2022-05-30,800,Saida,Ville_5_Said
4G,2017-05-26,700,Tindouf,Ville_5_Tind
4G,2014-10-25,1800,Oran,Ville_1_Oran
3G,2018-02-09,800,Ain Defla,Ville_8_Ain 
4G,2019-10-26,2600,AinTemouchent,Ville_2_AinT
3G,2020-10-12,800,ElOued,Ville_6_ElOu
4G,2022-01-01,2600,Illizi,Ville_3_Illi
3G,2021-07-06,1800,Djelfa,Ville_6_Djel
4G,2019-01-14,1800,Batna,Ville_6_Batn
2G,2014-10-01,2100,Khenchela,Ville_7_Khen
2G,2020-07-22,700,Oran,Ville_4_Oran
4G,2017-05-06,2100,AinTemouchent,Ville_4_AinT
4G,2017-04-24,2600,Mila,Ville_1_Mila
3G,2015-03-21,700,Guelma ,Ville_7_Guel
2G,2016-07-25,1800,Bechar,Ville_2_Bech
3G,2018-12-30,800,Naama,Ville_7_Naam
3G,2020-11-28,2100,Tindouf,Ville_1_Tind
2G,2022-06-29,2100,Bechar,Ville_3_Bech
2G,2020-02-14,700,Khenchela,Ville_2_Khen
3G,2015-07-14,2600,Bechar,Ville_2_Bech
2G,2018-01-14,2600,ElBayadh,Ville_2_ElBa
4G,2019-10-06,1800,ElBayadh,Ville_3_ElBa
2G,2016-09-26,800,ElTarf,Ville_8_ElTa
2G,2022-05-21,1800,SoukAhras ,Ville_2_Souk
3G,2016-03-27,2600,ElBayadh,Ville_2_ElBa
3G,2022-02-24,2600,Bechar,Ville_6_Bech
4G,2014-11-22,2100,AinTemouchent,Ville_4_AinT
4G,2017-03-28,2600,Ain Defla,Ville_5_Ain 
2G,2021-09-06,1800,Tissemsilt,Ville_7_Tiss
4G,2019-07-31,700,Ghardaia,Ville_7_Ghar
2G,2016-02-07,2100,Relizane,Ville_5_Reli
3G,2014-09-27,800,TiziOuzou,Ville_7_Tizi
2G,2020-06-10,800,Tlemcen,Ville_7_Tlem
2G,2018-07-24,2100,TiziOuzou,Ville_5_Tizi
4G,2015-10-04,700,Tipaza ,Ville_3_Tipa
2G,2019-04-19,2100,Guelma ,Ville_8_Guel
3G,2021-09-26,2600,Tiaret,Ville_4_Tiar
2G,2015-12-11,1800,Ouargla,Ville_8_Ouar
2G,2020-12-17,2600,Tissemsilt,Ville_2_Tiss
4G,2018-05-01,2100,Khenchela,Ville_7_Khen
4G,2022-01-26,700,Bordj Bou Arreridj,Ville_3_Bord
2G,2021-01-25,1800,Bouira,Ville_7_Boui
4G,2017-04-16,800,Relizane,Ville_1_Reli
2G,2022-06-09,800,Tissemsilt,Ville_2_Tiss
3G,2019-01-13,800,Boumerdes,Ville_4_Boum
4G,2017-09-30,2100,Chlef,Ville_5_Chle
4G,2014-10-14,700,Constantine,Ville_3_Cons
4G,2021-03-29,2600,Alger,Ville_1_Alge
2G,2014-11-28,2600,Jijel,Ville_3_Jije
4G,2020-08-21,800,ElTarf,Ville_3_ElTa
2G,2016-05-21,1800,Batna,Ville_7_Batn
4G,2014-10-30,800,Batna,Ville_6_Batn
3G,2020-12-30,2600,Tissemsilt,Ville_7_Tiss
4G,2018-10-17,700,Annaba,Ville_1_Anna
4G,2014-12-10,2100,Ain Defla,Ville_7_Ain 
3G,2017-07-02,1800,Bouaghi,Ville_8_Boua
2G,2018-02-05,2600,Boumerdes,Ville_3_Boum
4G,2021-02-05,800,Tebessa,Ville_7_Tebe
4G,2021-11-28,700,Mila,Ville_1_Mila
2G,2017-02-19,2100,Tebessa,Ville_4_Tebe
3G,2021-12-13,2100,Laghouat,Ville_6_Lagh
3G,2020-07-04,2100,Jijel,Ville_5_Jije
4G,2019-11-21,2100,ElOued,Ville_7_ElOu
3G,2015-10-22,2600,ElBayadh,Ville_7_ElBa
3G,2021-11-01,800,Djelfa,Ville_6_Djel
3G,2021-04-18,2600,Relizane,Ville_6_Reli
2G,2018-08-16,2100,Medea,Ville_3_Mede
4G,2016-09-25,2100,SidiBelAbbes,Ville_3_Sidi
4G,2015-10-17,2100,Bechar,Ville_2_Bech
3G,2020-12-01,800,Ouargla,Ville_6_Ouar
4G,2022-04-29,2100,Tipaza ,Ville_5_Tipa
4G,2014-10-11,800,Setif,Ville_3_Seti
2G,2021-08-26,1800,Annaba,Ville_3_Anna
2G,2019-03-10,1800,Tamanrasset,Ville_2_Tama
2G,2015-07-02,2100,Tissemsilt,Ville_3_Tiss
2G,2021-07-01,2100,Bouira,Ville_6_Boui
3G,2020-10-02,2600,Bechar,Ville_1_Bech
4G,2022-06-13,800,Saida,Ville_6_Said
4G,2015-07-21,800,Saida,Ville_6_Said
4G,2021-09-07,2100,Skikda,Ville_4_Skik
2G,2021-09-23,700,Medea,Ville_8_Mede
3G,2017-07-25,1800,Bouira,Ville_6_Boui
3G,2017-07-20,700,Tiaret,Ville_5_Tiar
3G,2021-05-26,1800,Batna,Ville_1_Batn
4G,2019-02-15,2600,Bouaghi,Ville_8_Boua
3G,2019-07-19,2100,Laghouat,Ville_6_Lagh
2G,2014-10-15,700,AinTemouchent,Ville_4_AinT
2G,2020-07-15,2100,Relizane,Ville_6_Reli
2G,2019-09-25,2100,Laghouat,Ville_1_Lagh
4G,2016-11-28,700,Tebessa,Ville_3_Tebe
2G,2019-12-25,2600,Mostaganem,Ville_5_Most
2G,2019-10-06,2600,Bejaia,Ville_3_Beja
3G,2022-01-09,800,Tebessa,Ville_8_Tebe
4G,2022-09-02,2100,Mascara,Ville_5_Masc
3G,2017-05-02,2100,Naama,Ville_5_Naam
4G,2018-05-11,1800,ElTarf,Ville_4_ElTa
4G,2015-01-27,2600,Bechar,Ville_6_Bech
4G,2018-12-16,800,Bouira,Ville_6_Boui
3G,2020-03-16,800,Batna,Ville_4_Batn
3G,2020-12-29,2100,Tipaza ,Ville_3_Tipa
4G,2017-01-30,2100,Mostaganem,Ville_4_Most
4G,2019-04-29,800,Bouira,Ville_4_Boui
3G,2016-08-11,800,Bouaghi,Ville_5_Boua
3G,2017-07-05,2600,ElTarf,Ville_4_ElTa
4G,2016-04-26,1800,Guelma ,Ville_4_Guel
2G,2015-07-09,2100,Illizi,Ville_8_Illi
2G,2021-02-20,800,Biskra,Ville_3_Bisk
2G,2020-08-22,800,Constantine,Ville_7_Cons
3G,2017-01-10,2100,Ouargla,Ville_1_Ouar
2G,2017-06-07,700,Chlef,Ville_5_Chle
2G,2017-02-28,2100,Tlemcen,Ville_8_Tlem
4G,2015-04-26,2100,Bouira,Ville_1_Boui
3G,2016-05-15,2600,Bordj Bou Arreridj,Ville_2_Bord
4G,2017-08-10,2600,Djelfa,Ville_2_Djel
3G,2019-08-14,800,Biskra,Ville_8_Bisk
3G,2016-10-08,800,Mila,Ville_1_Mila
3G,2019-09-22,1800,Annaba,Ville_6_Anna
2G,2018-06-28,700,Msila,Ville_3_Msil
2G,2020-02-04,800,Constantine,Ville_8_Cons
4G,2021-09-13,800,Mostaganem,Ville_7_Most
4G,2015-04-18,2600,Boumerdes,Ville_5_Boum
2G,2018-10-04,700,TiziOuzou,Ville_5_Tizi
4G,2018-07-06,700,Boumerdes,Ville_6_Boum
3G,2020-07-26,800,ElBayadh,Ville_1_ElBa
2G,2018-11-19,700,AinTemouchent,Ville_3_AinT
4G,2020-01-23,1800,Boumerdes,Ville_7_Boum
3G,2022-05-23,2600,Khenchela,Ville_1_Khen
3G,2019-02-13,700,Tlemcen,Ville_4_Tlem
4G,2019-01-12,2600,Tebessa,Ville_8_Tebe
3G,2018-08-07,1800,Djelfa,Ville_8_Djel
3G,2017-01-13,800,Tindouf,Ville_7_Tind
4G,2021-08-28,2600,Bechar,Ville_7_Bech
3G,2020-01-19,1800,Ain Defla,Ville_8_Ain 
4G,2021-04-20,2600,Tindouf,Ville_7_Tind
3G,2019-06-10,1800,Biskra,Ville_4_Bisk
3G,2022-04-30,2100,ElTarf,Ville_5_ElTa
3G,2015-03-28,1800,Naama,Ville_1_Naam
2G,2019-11-22,2600,Ghardaia,Ville_5_Ghar
2G,2018-09-10,2100,Mostaganem,Ville_5_Most
2G,2016-09-26,2100,AinTemouchent,Ville_4_AinT
3G,2021-01-01,800,Ghardaia,Ville_8_Ghar
4G,2018-12-13,2600,Tissemsilt,Ville_7_Tiss
2G,2017-05-21,2600,Jijel,Ville_2_Jije
2G,2018-11-23,2600,Guelma ,Ville_3_Guel
4G,2017-02-03,700,Bejaia,Ville_1_Beja
2G,2018-07-08,1800,Guelma ,Ville_1_Guel
4G,2020-02-01,1800,Mostaganem,Ville_7_Most
4G,2014-12-14,1800,Skikda,Ville_8_Skik
2G,2022-08-04,2100,Ouargla,Ville_8_Ouar
4G,2022-06-02,700,TiziOuzou,Ville_7_Tizi
4G,2021-03-04,800,ElOued,Ville_7_ElOu
3G,2014-10-22,1800,Tebessa,Ville_3_Tebe
2G,2017-07-04,2600,Tebessa,Ville_5_Tebe
3G,2016-09-10,800,Mascara,Ville_5_Masc
3G,2021-08-11,1800,SoukAhras ,Ville_4_Souk
4G,2018-01-31,800,Oran,Ville_5_Oran
3G,2019-04-02,1800,Tipaza ,Ville_8_Tipa
3G,2014-12-28,700,Naama,Ville_3_Naam
4G,2022-02-20,700,Bordj Bou Arreridj,Ville_3_Bord
4G,2015-07-30,1800,Bouaghi,Ville_6_Boua
3G,2015-12-17,800,TiziOuzou,Ville_8_Tizi
4G,2015-07-31,1800,Mascara,Ville_3_Masc
2G,2021-01-27,2100,Constantine,Ville_1_Cons
2G,2018-08-07,1800,Tamanrasset,Ville_8_Tama
4G,2022-07-01,700,Saida,Ville_8_Said
4G,2020-05-28,1800,Batna,Ville_6_Batn
2G,2020-02-23,2100,ElTarf,Ville_4_ElTa
4G,2019-02-26,1800,Tiaret,Ville_4_Tiar
3G,2021-09-18,1800,Annaba,Ville_5_Anna
3G,2019-06-05,1800,AinTemouchent,Ville_8_AinT
2G,2018-10-12,800,Biskra,Ville_6_Bisk
4G,2016-03-31,800,Tissemsilt,Ville_4_Tiss
3G,2015-11-12,2600,Jijel,Ville_6_Jije
2G,2021-10-24,1800,Ghardaia,Ville_5_Ghar
4G,2020-11-26,2600,Relizane,Ville_3_Reli
3G,2020-02-10,700,Tiaret,Ville_4_Tiar
3G,2014-09-26,1800,Mostaganem,Ville_3_Most
3G,2016-05-05,2100,Guelma ,Ville_4_Guel
4G,2018-09-30,800,Naama,Ville_5_Naam
2G,2021-07-19,2600,SidiBelAbbes,Ville_8_Sidi
2G,2018-07-09,1800,Khenchela,Ville_7_Khen
3G,2021-02-22,2600,Ouargla,Ville_4_Ouar
2G,2016-09-15,700,Tipaza ,Ville_5_Tipa
4G,2017-05-02,1800,Relizane,Ville_7_Reli
2G,2017-05-06,2600,Relizane,Ville_2_Reli
4G,2016-09-01,700,Oran,Ville_1_Oran
4G,2015-10-08,1800,Jijel,Ville_2_Jije
4G,2021-10-18,2100,Tiaret,Ville_3_Tiar
2G,2019-09-06,2100,Bejaia,Ville_3_Beja
2G,2020-01-29,2100,Ain Defla,Ville_5_Ain 
2G,2016-09-21,800,Khenchela,Ville_8_Khen
3G,2019-09-19,2600,Laghouat,Ville_2_Lagh
3G,2019-08-15,1800,Bordj Bou Arreridj,Ville_2_Bord
3G,2020-04-16,1800,Bordj Bou Arreridj,Ville_5_Bord
4G,2014-12-27,2600,SoukAhras ,Ville_3_Souk
2G,2016-02-01,1800,Djelfa,Ville_7_Djel
4G,2022-08-05,1800,Tipaza ,Ville_6_Tipa
3G,2021-12-11,800,Saida,Ville_6_Said
2G,2021-03-24,700,Tamanrasset,Ville_6_Tama
4G,2021-07-29,2600,Bordj Bou Arreridj,Ville_2_Bord
4G,2016-06-27,1800,Annaba,Ville_5_Anna
3G,2017-07-19,800,Ouargla,Ville_5_Ouar
4G,2016-10-26,800,Mascara,Ville_6_Masc
4G,2020-07-26,700,Annaba,Ville_6_Anna
3G,2020-06-03,1800,Batna,Ville_7_Batn
2G,2020-07-14,700,Msila,Ville_2_Msil
3G,2017-07-14,2600,Medea,Ville_6_Mede
2G,2016-10-28,1800,Tebessa,Ville_4_Tebe
2G,2019-05-16,800,Tebessa,Ville_1_Tebe
3G,2016-01-09,1800,Oran,Ville_4_Oran
3G,2017-07-25,800,Constantine,Ville_7_Cons
4G,2014-12-01,700,Bouaghi,Ville_8_Boua
3G,2015-03-22,1800,Illizi,Ville_5_Illi
4G,2018-01-06,1800,TiziOuzou,Ville_4_Tizi
4G,2021-07-31,800,Saida,Ville_7_Said
3G,2018-12-14,800,Bordj Bou Arreridj,Ville_1_Bord
2G,2020-12-02,800,Tamanrasset,Ville_7_Tama
4G,2016-01-17,800,ElOued,Ville_7_ElOu
4G,2020-09-04,700,Tipaza ,Ville_7_Tipa
3G,2017-08-29,2100,Ghardaia,Ville_7_Ghar
2G,2016-03-10,700,Bouira,Ville_1_Boui
2G,2022-03-17,1800,Batna,Ville_5_Batn
2G,2020-01-16,2600,Biskra,Ville_4_Bisk
2G,2018-10-17,2100,Batna,Ville_3_Batn
4G,2018-05-03,1800,Relizane,Ville_4_Reli
2G,2015-09-07,2100,Bechar,Ville_2_Bech
4G,2018-10-20,800,Jijel,Ville_7_Jije
2G,2018-02-09,2100,Saida,Ville_2_Said
4G,2021-09-26,2600,Bejaia,Ville_4_Beja
2G,2017-02-15,700,Ghardaia,Ville_8_Ghar
4G,2015-07-10,2600,Ain Defla,Ville_3_Ain 
3G,2016-03-12,1800,Blida,Ville_5_Blid
4G,2017-08-27,700,Khenchela,Ville_1_Khen
4G,2018-11-05,2100,SoukAhras ,Ville_3_Souk
3G,2017-03-22,800,Tindouf,Ville_5_Tind
2G,2015-10-12,800,Tipaza ,Ville_6_Tipa
3G,2019-08-18,2100,Oran,Ville_3_Oran
3G,2016-12-16,800,Naama,Ville_1_Naam
3G,2019-08-14,1800,Tindouf,Ville_3_Tind
2G,2021-10-26,1800,Bouira,Ville_2_Boui
2G,2020-12-27,800,Saida,Ville_2_Said
2G,2015-02-11,2100,Mila,Ville_5_Mila
3G,2022-01-07,800,Ain Defla,Ville_4_Ain 
3G,2019-06-15,2600,Tiaret,Ville_3_Tiar
4G,2020-03-17,1800,Bejaia,Ville_1_Beja
4G,2018-07-02,2600,Msila,Ville_5_Msil
2G,2016-09-29,700,Alger,Ville_6_Alge
2G,2018-06-28,2600,Djelfa,Ville_2_Djel
2G,2019-12-26,800,Blida,Ville_5_Blid
3G,2022-08-26,800,Mascara,Ville_2_Masc
4G,2017-06-25,2100,ElTarf,Ville_6_ElTa
2G,2015-04-17,2600,Ain Defla,Ville_3_Ain 
4G,2022-07-25,700,Khenchela,Ville_7_Khen
3G,2016-07-29,800,Ouargla,Ville_8_Ouar
4G,2020-11-28,2600,Bouaghi,Ville_3_Boua
4G,2015-11-01,800,Tebessa,Ville_3_Tebe
4G,2019-10-06,800,Constantine,Ville_7_Cons
4G,2015-09-09,2600,Tebessa,Ville_2_Tebe
4G,2021-10-23,800,Setif,Ville_3_Seti
2G,2020-07-09,1800,Laghouat,Ville_6_Lagh
4G,2015-08-05,2600,SoukAhras ,Ville_1_Souk
2G,2019-01-13,1800,Oran,Ville_1_Oran
4G,2022-08-22,1800,Blida,Ville_3_Blid
4G,2021-11-11,800,Illizi,Ville_4_Illi
3G,2018-12-30,800,Annaba,Ville_5_Anna
2G,2015-06-04,800,Batna,Ville_3_Batn
3G,2015-06-24,800,Annaba,Ville_7_Anna
2G,2016-11-28,700,AinTemouchent,Ville_8_AinT
3G,2017-07-18,700,Tissemsilt,Ville_4_Tiss
4G,2021-04-22,800,Tissemsilt,Ville_1_Tiss
2G,2021-04-19,800,Tebessa,Ville_8_Tebe
3G,2015-09-18,700,Bouaghi,Ville_7_Boua
3G,2022-03-09,800,Laghouat,Ville_5_Lagh
3G,2019-09-26,700,SoukAhras ,Ville_5_Souk
4G,2017-08-27,800,Setif,Ville_1_Seti
4G,2016-12-31,2100,Tamanrasset,Ville_7_Tama
2G,2018-04-07,700,ElBayadh,Ville_8_ElBa
3G,2017-05-23,700,Saida,Ville_7_Said
4G,2017-03-09,2100,Guelma ,Ville_8_Guel
3G,2022-07-12,700,Bouaghi,Ville_2_Boua
4G,2020-01-28,1800,Mila,Ville_7_Mila
3G,2020-11-06,2600,Tiaret,Ville_4_Tiar
3G,2018-10-16,700,ElBayadh,Ville_7_ElBa
2G,2018-04-14,800,Laghouat,Ville_4_Lagh
2G,2018-03-15,2100,Tiaret,Ville_8_Tiar
3G,2019-01-02,1800,Jijel,Ville_4_Jije
2G,2017-12-21,2100,Medea,Ville_5_Mede
2G,2021-05-19,700,Bouaghi,Ville_1_Boua
3G,2022-03-29,700,Mostaganem,Ville_6_Most
4G,2017-07-08,2100,Khenchela,Ville_7_Khen
3G,2020-08-22,1800,Jijel,Ville_5_Jije
2G,2019-05-15,2100,Alger,Ville_2_Alge
3G,2022-05-17,1800,Tiaret,Ville_2_Tiar
4G,2020-03-10,2100,Bechar,Ville_6_Bech
2G,2017-02-22,800,Ouargla,Ville_6_Ouar
3G,2016-05-27,2600,SidiBelAbbes,Ville_5_Sidi
2G,2018-02-18,700,Oran,Ville_5_Oran
4G,2020-04-20,2100,Constantine,Ville_5_Cons
2G,2017-08-03,800,Skikda,Ville_8_Skik
4G,2017-04-16,2600,Tiaret,Ville_8_Tiar
3G,2019-09-24,800,Bejaia,Ville_4_Beja
4G,2017-05-19,700,Annaba,Ville_1_Anna
